zip,latitude,longitude,source
01865,42.5379,-71.2689,geonames
01866,42.5293,-71.2281,geonames
01867,42.535183,-71.105423,census
01876,42.611893,-71.227226,census
01879,42.667762,-71.42882,census
01880,42.504361,-71.064061,census
01885,42.707,-71.0639,geonames
01886,42.585541,-71.44025,census
01887,42.564647,-71.164516,census
01888,42.4793,-71.1523,geonames
01889,42.5716,-71.1096,geonames
01890,42.452752,-71.144319,census
01899,42.6584,-71.137,geonames
01901,42.460419,-70.946379,census
01902,42.471039,-70.941535,census
01903,42.4668,-70.9495,geonames
01904,42.491447,-70.971441,census
01905,42.462378,-70.972343,census
01906,42.469675,-71.012785,census
01907,42.474145,-70.906597,census
01908,42.428234,-70.926071,census
01910,42.4548,-70.9747,geonames
01913,42.851277,-70.955792,census
01915,42.570442,-70.867693,census
01921,42.683108,-71.027188,census
01922,42.757313,-70.914241,census
01923,42.574174,-70.950516,census
01929,42.640451,-70.771165,census
01930,42.620291,-70.677956,census
01931,42.6159,-70.662,geonames
01936,42.6354,-70.8791,geonames
01937,42.585723,-70.984051,census
01938,42.686464,-70.839594,census
01940,42.534146,-71.038333,census
01944,42.576636,-70.767154,census
01945,42.504317,-70.851542,census
01949,42.610322,-71.006295,census
01950,42.812358,-70.891095,census
01951,42.773351,-70.850211,census
01952,42.844794,-70.841499,census
01960,42.53431,-70.969443,census
01961,42.6354,-70.8791,geonames
01965,42.564101,-70.824723,census
01966,42.640699,-70.62025,census
01969,42.721495,-70.886637,census
01970,42.529248,-70.868017,census
01971,42.6354,-70.8791,geonames
01982,42.626223,-70.85723,census
01983,42.641387,-70.943383,census
01984,42.600668,-70.88326,census
01985,42.799565,-70.964428,census
02018,42.1745,-70.8837,geonames
02019,42.076682,-71.47449,census
02020,42.0818,-70.6439,geonames
02021,42.175737,-71.125385,census
02025,42.236428,-70.814333,census
02026,42.246872,-71.179462,census
02027,42.18,-71.0892,geonames
02030,42.23416,-71.291167,census
02032,42.156882,-71.216187,census
02035,42.061338,-71.245802,census
02038,42.084858,-71.410571,census
02040,42.1793,-70.7495,geonames
02041,42.0696,-70.6491,geonames
02043,42.216098,-70.88127,census
02044,42.2418,-70.8898,geonames
02045,42.28587,-70.879517,census
02047,42.145534,-70.69505,census
02048,42.017302,-71.21642,census
02050,42.115139,-70.710331,census
02051,42.1512,-70.7341,geonames
02052,42.184599,-71.305307,census
02053,42.156203,-71.430345,census
02054,42.173103,-71.363756,census
02055,42.2404,-70.762,geonames
02056,42.116244,-71.329274,census
02059,42.1432,-70.7703,geonames
02060,42.219,-70.7856,geonames
02061,42.164569,-70.818844,census
02062,42.187389,-71.192477,census
02065,42.0972,-70.6516,geonames
02066,42.202273,-70.758184,census
02067,42.1076,-71.181828,census
02070,42.0348,-71.387,geonames
02071,42.106425,-71.268951,census
02072,42.119006,-71.10365,census
02081,42.147403,-71.257972,census
02090,42.219645,-71.216768,census
02093,42.052671,-71.356858,census
02108,42.355097,-71.065737,census
02109,42.366919,-71.050416,census
02110,42.358254,-71.051927,census
02111,42.35068,-71.060527,census
02112,42.3584,-71.0598,geonames
02113,42.365264,-71.055222,census
02114,42.363651,-71.066888,census
02115,42.339422,-71.094531,census
02116,42.350979,-71.076591,census
02117,42.3585,-71.058,geonames
02118,42.33786,-71.069805,census
02119,42.324066,-71.085188,census
02120,42.332134,-71.096606,census
02121,42.305403,-71.086971,census
02122,42.295088,-71.052533,census
02123,42.3389,-70.9196,geonames
02124,42.285922,-71.075046,census
02125,42.315682,-71.055555,census
02126,42.277436,-71.089968,census
02127,42.335301,-71.038216,census
02128,42.361519,-71.007393,census
02129,42.379657,-71.061487,census
02130,42.308175,-71.113471,census
02131,42.282323,-71.124746,census
02132,42.279082,-71.160449,census
02133,42.358352,-71.063858,census
02134,42.358786,-71.129581,census
02135,42.349688,-71.153964,census
02136,42.254749,-71.127072,census
02137,42.2404,-71.137,geonames
02138,42.379637,-71.135152,census
02139,42.362391,-71.102336,census
02140,42.392157,-71.133996,census
02141,42.3703,-71.08256,census
02142,42.362505,-71.08096,census
02143,42.3814,-71.09672,census
02144,42.400077,-71.123088,census
02145,42.391577,-71.08991,census
02148,42.42938,-71.058706,census
02149,42.405938,-71.054649,census
02150,42.396824,-71.031348,census
02151,42.41829,-71.001251,census
02152,42.377382,-70.977026,census
02153,42.4184,-71.1062,geonames
02155,42.42384,-71.107673,census
02156,42.4223,-71.1328,geonames
02163,42.367226,-71.125092,census
02169,42.240016,-71.015205,census
02170,42.266415,-71.015576,census
02171,42.29147,-71.025822,census
02176,42.455723,-71.059019,census
02180,42.474208,-71.097665,census
02184,42.206188,-71.00232,census
02185,42.18,-71.0892,geonames
02186,42.241559,-71.082437,census
02187,42.2668,-71.0717,geonames
02188,42.204662,-70.957633,census
02189,42.211968,-70.929639,census
02190,42.166731,-70.952363,census
02191,42.245077,-70.946528,census
02196,42.3584,-71.0598,geonames
02199,42.347476,-71.082033,census
02201,42.3584,-71.0598,geonames
02203,42.361445,-71.059453,census
02204,42.3389,-70.9196,geonames
02205,42.349403,-71.055621,census
02206,42.3389,-70.9196,geonames
02210,42.348036,-71.039283,census
02211,42.3584,-71.0598,geonames
02212,42.3584,-71.0598,geonames
02215,42.347635,-71.103082,census
02217,42.3389,-70.9196,geonames
02222,42.3644,-71.0633,geonames
02238,42.3751,-71.1056,geonames
02241,42.3584,-71.0598,geonames
02266,42.3584,-71.0598,geonames
02269,42.2529,-71.0023,geonames
02283,42.3389,-70.9196,geonames
02284,42.3389,-70.9196,geonames
02293,42.3584,-71.0598,geonames
02297,42.3584,-71.0598,geonames
02298,42.3823,-71.0323,geonames
02301,42.078371,-71.042304,census
02302,42.088907,-70.998375,census
02303,42.0834,-71.0184,geonames
02304,42.0834,-71.0184,geonames
02305,42.0834,-71.0184,geonames
02322,42.132461,-71.054013,census
02324,41.972376,-70.978773,census
02325,41.990101,-70.962408,census
02327,42.0407,-70.8272,geonames
02330,41.875179,-70.746715,census
02331,41.9705,-70.7014,geonames
02332,42.044407,-70.70606,census
02333,42.037116,-70.942178,census
02334,42.0235,-71.1324,geonames
02337,42.0098,-70.962,geonames
02338,42.002634,-70.863706,census
02339,42.122956,-70.85631,census
02340,42.1137,-70.8161,geonames
02341,42.05024,-70.867359,census
02343,42.140346,-70.997861,census
02344,41.8932,-70.9112,geonames
02345,41.8882,-70.581,geonames
02346,41.878004,-70.869267,census
02347,41.834384,-70.956826,census
02348,41.8459,-70.9495,geonames
02349,41.8932,-70.9112,geonames
02350,42.021013,-70.845791,census
02351,42.115764,-70.956597,census
02355,41.9169,-70.8013,geonames
02356,42.060539,-71.119671,census
02357,42.063974,-71.077368,census
02358,42.0932,-70.7925,geonames
02359,42.067804,-70.805713,census
02360,41.882062,-70.631289,census
02361,41.9705,-70.7014,geonames
02362,41.9584,-70.6673,geonames
02364,41.987196,-70.741942,census
02366,41.848753,-70.661176,census
02367,41.9591,-70.802753,census
02368,42.178993,-71.052654,census
02370,42.129251,-70.908736,census
02375,42.00569,-71.078041,census
02379,42.021617,-71.026717,census
02381,41.9316,-70.5611,geonames
02382,42.078974,-70.93939,census
02420,42.459061,-71.217728,census
02421,42.438547,-71.239573,census
02445,42.325483,-71.135045,census
02446,42.343499,-71.122244,census
02447,42.3329,-71.1162,geonames
02451,42.40153,-71.252997,census
02452,42.395609,-71.219947,census
02453,42.368685,-71.241103,census
02454,42.3567,-71.2505,geonames
02455,42.3621,-71.2055,geonames
02456,42.4464,-71.4594,geonames
02457,42.298309,-71.27302,census
02458,42.353585,-71.188192,census
02459,42.314779,-71.192017,census
02460,42.351824,-71.20849,census
02461,42.317362,-71.206508,census
02462,42.331675,-71.255947,census
02464,42.312975,-71.218882,census
02465,42.349533,-71.227339,census
02466,42.345514,-71.247661,census
02467,42.314321,-71.152778,census
02468,42.329175,-71.231583,census
02471,42.3709,-71.1828,geonames
02472,42.369451,-71.177925,census
02474,42.420949,-71.15637,census
02475,42.4204,-71.1801,geonames
02476,42.41648,-71.173487,census
02477,42.3709,-71.1828,geonames
02478,42.395317,-71.180284,census
02479,42.3876,-71.1828,geonames
02481,42.310514,-71.277769,census
02482,42.293274,-71.296442,census
02492,42.276483,-71.243714,census
02493,42.360502,-71.303433,census
02494,42.299563,-71.231215,census
02495,42.3626,-71.2023,geonames
02532,41.749522,-70.594928,census
02534,41.669004,-70.61528,census
02535,41.337961,-70.761674,census
02536,41.596295,-70.567471,census
02537,41.728421,-70.43581,census
02538,41.777378,-70.642447,census
02539,41.377655,-70.52208,census
02540,41.569466,-70.627202,census
02541,41.5515,-70.6148,geonames
02542,41.707839,-70.54552,census
02543,41.472422,-70.785049,census
02552,41.3798,-70.6431,geonames
02553,41.713138,-70.622283,census
02554,41.290114,-70.096294,census
02556,41.639447,-70.624515,census
02557,41.446403,-70.561761,census
02558,41.746275,-70.651689,census
02559,41.690243,-70.616283,census
02561,41.767811,-70.532854,census
02562,41.787984,-70.527592,census
02563,41.751133,-70.502518,census
02564,41.27188,-69.984526,census
02568,41.449404,-70.61636,census
02571,41.75143,-70.699352,census
02574,41.6039,-70.6382,geonames
02575,41.394406,-70.656447,census
02576,41.772221,-70.762948,census
02584,41.257578,-70.005294,census
02601,41.661161,-70.293197,census
02630,41.706756,-70.312489,census
02631,41.747513,-70.066223,census
02632,41.659097,-70.346877,census
02633,41.687361,-69.98016,census
02634,41.6487,-70.3481,geonames
02635,41.624054,-70.439397,census
02637,41.705726,-70.270928,census
02638,41.730245,-70.197392,census
02639,41.668067,-70.136979,census
02641,41.753951,-70.155393,census
02642,41.8416,-69.974973,census
02643,41.75354,-69.934661,census
02644,41.683488,-70.510786,census
02645,41.701286,-70.061663,census
02646,41.670596,-70.071449,census
02647,41.630127,-70.310144,census
02648,41.670375,-70.412035,census
02649,41.617623,-70.492713,census
02650,41.701947,-69.961453,census
02651,41.8243,-69.9818,geonames
02652,42.049534,-70.094987,census
02653,41.769125,-69.97358,census
02655,41.627984,-70.392013,census
02657,42.059829,-70.200407,census
02659,41.681474,-70.023529,census
02660,41.708526,-70.156582,census
02661,41.6862,-70.0329,geonames
02662,41.7567,-69.9841,geonames
02663,41.89754,-69.969907,census
02664,41.674776,-70.194279,census
02666,41.985387,-70.037739,census
02667,41.923389,-70.021044,census
02668,41.714328,-70.356,census
02669,41.6812,-69.9911,geonames
02670,41.660103,-70.170681,census
02671,41.670336,-70.111068,census
02672,41.6357,-70.313634,census
02673,41.652948,-70.247383,census
02675,41.70395,-70.231552,census
02702,41.785113,-71.059047,census
02703,41.931653,-71.294503,census
02712,41.9487,-71.2259,geonames
02713,41.427083,-70.885662,census
02714,41.7562,-71.0671,geonames
02715,41.805594,-71.157707,census
02717,41.758629,-70.987625,census
02718,41.862486,-71.01169,census
02719,41.633667,-70.871362,census
02720,41.727137,-71.109858,census
02721,41.674429,-71.148532,census
02722,41.7015,-71.155,geonames
02723,41.692208,-71.132132,census
02724,41.683068,-71.177888,census
02725,41.720043,-71.188272,census
02726,41.7597,-71.144592,census
02738,41.706162,-70.750164,census
02739,41.665644,-70.815876,census
02740,41.638171,-70.938398,census
02741,41.6362,-70.9342,geonames
02742,41.6362,-70.9342,geonames
02743,41.709599,-70.898111,census
02744,41.606252,-70.913632,census
02745,41.702696,-70.947057,census
02746,41.663913,-70.94757,census
02747,41.658,-71.01346,census
02748,41.553084,-70.971453,census
02760,41.972567,-71.334375,census
02761,41.9834,-71.3328,geonames
02762,42.012838,-71.336188,census
02763,41.966866,-71.308574,census
02764,41.851929,-71.153598,census
02766,41.965341,-71.18178,census
02767,41.940996,-71.048499,census
02768,41.7562,-71.0671,geonames
02769,41.846878,-71.24487,census
02770,41.760864,-70.838956,census
02771,41.839798,-71.318047,census
02777,41.758163,-71.214181,census
02779,41.838061,-71.077615,census
02780,41.909112,-71.118346,census
02783,41.7562,-71.0671,geonames
02790,41.599176,-71.082371,census
02791,41.530554,-71.084996,census
02801,41.5301,-71.2841,geonames
02802,41.95213,-71.456233,census
02804,41.433033,-71.770061,census
02806,41.733037,-71.319676,census
02807,41.176783,-71.577054,census
02808,41.410654,-71.73851,census
02809,41.67573,-71.273331,census
02812,41.477712,-71.658167,census
02813,41.394216,-71.669822,census
02814,41.895784,-71.705238,census
02815,41.778591,-71.66239,census
02816,41.696499,-71.622662,census
02817,41.628605,-71.658874,census
02818,41.642919,-71.485719,census
02822,41.575313,-71.587124,census
02823,41.733362,-71.543668,census
02824,41.999441,-71.562125,census
02825,41.782067,-71.726833,census
02826,41.987043,-71.648018,census
02827,41.698748,-71.739118,census
02828,41.877692,-71.560911,census
02829,41.893373,-71.589036,census
02830,41.975622,-71.656388,census
02831,41.746418,-71.584915,census
02832,41.506767,-71.728006,census
02833,41.485769,-71.785311,census
02835,41.510088,-71.378366,census
02836,41.454039,-71.620233,census
02837,41.518769,-71.167247,census
02838,41.965413,-71.479359,census
